DimCustomer;;;;;DimStore;;;DimProduct;;;;FactSales;;;;;;;;;;;;;
FirstName;LastName;Email;ContactNumber;LoyaltyMember;City;Province;Store;ProductName;ProductID;Category;Supplier;SaleID;OrderDate;CustomerID;UnitPrice;Quantity;DiscountPercent;TotalAmount;PaymentMethod;PaymentStatus;SalesChannel;SalesPerson;StockLevel;Promotion;OrderStatus
Emma;King;emma.king891@gmail.com;27647242963;No;Mbombela;Mpumalanga;Urban Basket Mbombela;Bread;P889;Bakery;Cape Wholesale;S000035;2025/05/01;C5649;25.61;6;20;122.93;EFT;Paid;In-Store;Employee 029;75;;Completed
Megan;Wilson;megan.wilson762@gmail.com;27621958972;Yes;Pretoria;Gauteng;Urban Basket Pretoria;Apples;P207;Produce;Urban Supply Co;S000036;2025/04/10;C8461;221.82;7;10;1397.47;Mobile Pay;Paid;Online;Employee 064;124;Winter Special;Completed
Tyler;Harris;tyler.harris397@gmail.com;27826136575;Yes;Cape Town;Western Cape;Urban Basket Cape Town;Water;P667;Beverages;National Distribution;S000037;2025/09/23;C4585;201.52;3;15;513.88;Mobile Pay;Paid;Online;Employee 007;127;;Completed
Sophia;Naidoo;sophia.naidoo672@gmail.com;27717530686;No;Durban;KwaZulu-Natal;Urban Basket Durban;Tomatoes;P460;Produce;Urban Supply Co;S000038;2025/08/17;C8251;208.07;7;10;1310.84;Cash;Paid;In-Store;Employee 061;132;Winter Special;Completed
Sarah;Jones;sarah.jones548@gmail.com;27729675556;Yes;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Toilet Paper;P288;Household;Green Farms;S000039;2025/05/27;C4919;111.37;5;15;473.32;Cash;Paid;Online;Employee 035;163;Loyalty Discount;Completed
Olivia;Roberts;olivia.roberts171@gmail.com;27837480135;No;Durban;KwaZulu-Natal;Urban Basket Durban;Muffins;P914;Bakery;National Distribution;S000040;2025/08/01;C7275;177.34;3;0;532.02;Mobile Pay;Paid;In-Store;Employee 043;238;Weekend Saver;Completed
Grace;Johnson;grace.johnson760@gmail.com;27648629280;Yes;Pretoria;Gauteng;Urban Basket Pretoria;Potatoes;P599;Produce;National Distribution;S000041;2025/06/02;C1320;120.55;7;0;843.85;Mobile Pay;Paid;In-Store;Employee 054;382;Loyalty Discount;Completed
Megan;Smith;megan.smith358@gmail.com;27788569019;No;Pretoria;Gauteng;Urban Basket Pretoria;Bananas;P701;Produce;Urban Supply Co;S000042;2025/06/22;C5471;122.7;7;5;815.95;Mobile Pay;Paid;In-Store;Employee 022;470;Winter Special;Completed
Daniel;Jackson;daniel.jackson811@gmail.com;27603660487;No;Cape Town;Western Cape;Urban Basket Cape Town;Apples;P207;Produce;Urban Supply Co;S000043;2025/04/04;C2375;36.09;7;5;240.0;Card;Paid;In-Store;Employee 034;167;Winter Special;Completed
Chloe;Thomas;chloe.thomas893@gmail.com;27819635554;No;Bloemfontein;Free State;Urban Basket Bloemfontein;Butter;P178;Dairy;Fresh Foods SA;S000044;2025/08/29;C5558;64.94;7;0;454.58;Card;Paid;In-Store;Employee 070;487;Buy 2 Get 1;Completed
Isabella;Jones;isabella.jones352@gmail.com;27812757875;No;Johannesburg;Gauteng;Urban Basket Johannesburg;Coffee;P665;Beverages;Urban Supply Co;S000045;2025/03/20;C5051;210.21;4;10;756.76;Cash;Paid;In-Store;Employee 017;342;;Completed
Isabella;Scott;isabella.scott378@gmail.com;27676705609;No;Pretoria;Gauteng;Urban Basket Pretoria;Tomatoes;P460;Produce;Fresh Foods SA;S000046;2025/02/28;C7043;152.46;3;15;388.77;Cash;Paid;Online;Employee 040;296;;Completed
Emma;Taylor;emma.taylor953@gmail.com;27815080877;Yes;Polokwane;Limpopo;Urban Basket Polokwane;Bananas;P701;Produce;Fresh Foods SA;S000047;2025/06/04;C2245;27.72;4;20;88.7;Card;Paid;Online;Employee 073;177;Loyalty Discount;Completed
Mia;Botha;mia.botha330@gmail.com;27687680187;No;Bloemfontein;Free State;Urban Basket Bloemfontein;Juice;P930;Beverages;Cape Wholesale;S000048;2025/08/10;C1207;206.03;7;0;1442.21;EFT;Refunded;Online;Employee 059;222;Winter Special;Returned
Noah;Harris;noah.harris83@gmail.com;27669474692;No;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Toilet Paper;P288;Household;Fresh Foods SA;S000049;2025/05/18;C8616;206.87;7;10;1303.28;EFT;Paid;In-Store;Employee 032;142;Weekend Saver;Completed
Mia;Green;mia.green913@gmail.com;27604257519;No;Mbombela;Mpumalanga;Urban Basket Mbombela;Toilet Paper;P288;Household;Green Farms;S000050;2025/04/04;C6511;124.84;1;0;124.84;Mobile Pay;Paid;In-Store;Employee 028;408;Buy 2 Get 1;Completed
Lucas;Lewis;lucas.lewis237@gmail.com;27626318850;No;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Paper Towels;P885;Household;Cape Wholesale;S000051;2025/07/28;C1166;23.69;4;15;80.55;Mobile Pay;Paid;In-Store;Employee 072;353;Weekend Saver;Completed
Emma;Thomas;emma.thomas568@gmail.com;27823239215;Yes;Mbombela;Mpumalanga;Urban Basket Mbombela;Apples;P207;Produce;Green Farms;S000052;2025/05/05;C2524;57.35;5;15;243.74;EFT;Paid;In-Store;Employee 075;242;Loyalty Discount;Completed
Jordan;Botha;jordan.botha829@gmail.com;27823272406;Yes;Bloemfontein;Free State;Urban Basket Bloemfontein;Tomatoes;P460;Produce;Green Farms;S000053;2025/04/29;C6764;69.55;8;0;556.4;Card;Pending;In-Store;Employee 025;61;Loyalty Discount;Cancelled
Jessica;Botha;jessica.botha496@gmail.com;27797683306;No;Durban;KwaZulu-Natal;Urban Basket Durban;Muffins;P914;Bakery;Cape Wholesale;S000054;2025/09/26;C8933;181.83;5;20;727.32;EFT;Paid;In-Store;Employee 013;151;Winter Special;Completed
Tyler;Smith;tyler.smith264@gmail.com;27839155739;Yes;Durban;KwaZulu-Natal;Urban Basket Durban;Milk;P622;Dairy;Urban Supply Co;S000055;2025/10/11;C9751;70.39;3;0;211.17;EFT;Paid;In-Store;Employee 017;52;;Completed
Michael;Martin;michael.martin937@gmail.com;27679409706;No;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Potatoes;P599;Produce;Fresh Foods SA;S000056;2025/05/10;C8216;48.13;6;0;288.78;Mobile Pay;Paid;In-Store;Employee 015;205;Weekend Saver;Completed
Jordan;Jones;jordan.jones625@gmail.com;27609295904;No;Cape Town;Western Cape;Urban Basket Cape Town;Muffins;P914;Bakery;National Distribution;S000057;2025/10/13;C5978;248.49;2;0;496.98;Mobile Pay;Paid;In-Store;Employee 029;194;Weekend Saver;Completed
Michael;King;michael.king599@gmail.com;27631879719;Yes;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Toilet Paper;P288;Household;Green Farms;S000058;2025/02/20;C6003;153.38;1;15;130.37;Cash;Paid;In-Store;Employee 028;338;;Completed
Sarah;Nel;sarah.nel472@gmail.com;27738059209;No;Pretoria;Gauteng;Urban Basket Pretoria;Bread;P889;Bakery;Fresh Foods SA;S000059;2025/11/01;C3564;103.61;1;15;88.07;Mobile Pay;Paid;In-Store;Employee 038;118;Buy 2 Get 1;Completed
Michael;Moore;michael.moore222@gmail.com;27786755143;No;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Apples;P207;Produce;Fresh Foods SA;S000060;2025/10/29;C4824;197.49;5;15;839.33;Cash;Paid;In-Store;Employee 055;278;Winter Special;Completed
Jessica;Green;jessica.green198@gmail.com;27657415179;No;Durban;KwaZulu-Natal;Urban Basket Durban;Cheese;P874;Dairy;Fresh Foods SA;S000061;2025/11/01;C2169;43.57;1;0;43.57;EFT;Paid;Online;Employee 057;239;Buy 2 Get 1;Completed
Jessica;Johnson;jessica.johnson862@gmail.com;27767297077;No;Polokwane;Limpopo;Urban Basket Polokwane;Butter;P178;Dairy;Fresh Foods SA;S000062;2025/06/15;C8172;150.51;2;5;285.97;EFT;Paid;In-Store;Employee 004;117;Loyalty Discount;Completed
Chloe;Taylor;chloe.taylor850@gmail.com;27657315016;No;Cape Town;Western Cape;Urban Basket Cape Town;Milk;P622;Dairy;Urban Supply Co;S000063;2025/05/23;C3870;130.94;8;5;995.14;Cash;Paid;In-Store;Employee 075;325;Weekend Saver;Completed
Sarah;Williams;sarah.williams944@gmail.com;27713052302;Yes;Mbombela;Mpumalanga;Urban Basket Mbombela;Butter;P178;Dairy;Urban Supply Co;S000064;2025/03/24;C6460;168.36;6;20;808.13;EFT;Pending;In-Store;Employee 053;147;Weekend Saver;Cancelled
Jordan;Taylor;jordan.taylor515@gmail.com;27721921263;No;Cape Town;Western Cape;Urban Basket Cape Town;Apples;P207;Produce;Urban Supply Co;S000065;2025/07/26;C6153;82.51;5;20;330.04;Card;Paid;Online;Employee 070;211;;Completed
Emily;Johnson;emily.johnson601@gmail.com;27746008235;Yes;Bloemfontein;Free State;Urban Basket Bloemfontein;Toilet Paper;P288;Household;Urban Supply Co;S000066;2025/03/09;C8242;52.88;1;10;47.59;EFT;Paid;Online;Employee 057;62;;Completed
Olivia;Thompson;olivia.thompson588@gmail.com;27725071364;Yes;Pretoria;Gauteng;Urban Basket Pretoria;Croissant;P937;Bakery;Cape Wholesale;S000067;2025/02/28;C1224;25.57;7;20;143.19;Mobile Pay;Paid;In-Store;Employee 016;255;Buy 2 Get 1;Completed
Aiden;Thompson;aiden.thompson273@gmail.com;27786772257;Yes;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Potatoes;P599;Produce;Cape Wholesale;S000068;2025/07/16;C8736;115.55;4;0;462.2;Cash;Paid;In-Store;Employee 066;442;;Completed
Ethan;King;ethan.king467@gmail.com;27815614091;No;Polokwane;Limpopo;Urban Basket Polokwane;Yoghurt;P785;Dairy;Urban Supply Co;S000069;2025/10/28;C1042;182.2;5;20;728.8;Mobile Pay;Paid;In-Store;Employee 020;275;Weekend Saver;Completed
Michael;Johnson;michael.johnson187@gmail.com;27631334071;Yes;Bloemfontein;Free State;Urban Basket Bloemfontein;Toilet Paper;P288;Household;Urban Supply Co;S000070;2025/05/03;C8460;217.73;6;15;1110.42;Mobile Pay;Refunded;In-Store;Employee 030;22;Buy 2 Get 1;Returned
Grace;Young;grace.young509@gmail.com;27649008130;No;Mbombela;Mpumalanga;Urban Basket Mbombela;Potatoes;P599;Produce;Urban Supply Co;S000071;2025/09/15;C3492;241.29;8;0;1930.32;EFT;Paid;In-Store;Employee 013;51;Loyalty Discount;Completed
Isabella;Johnson;isabella.johnson482@gmail.com;27823374844;No;Cape Town;Western Cape;Urban Basket Cape Town;Cake;P950;Bakery;Green Farms;S000072;2025/06/23;C3529;118.7;2;0;237.4;Mobile Pay;Paid;Online;Employee 011;436;Loyalty Discount;Completed
Michael;Nel;michael.nel379@gmail.com;27671539450;Yes;Bloemfontein;Free State;Urban Basket Bloemfontein;Apples;P207;Produce;Fresh Foods SA;S000073;2025/04/27;C2121;158.71;4;0;634.84;Card;Paid;In-Store;Employee 056;389;;Completed
Nathan;Harris;nathan.harris922@gmail.com;27711233839;No;Durban;KwaZulu-Natal;Urban Basket Durban;Milk;P622;Dairy;Cape Wholesale;S000074;2025/07/03;C1753;199.55;6;0;1197.3;EFT;Paid;Online;Employee 056;125;Loyalty Discount;Completed
Michael;Scott;michael.scott396@gmail.com;27672050851;Yes;Durban;KwaZulu-Natal;Urban Basket Durban;Muffins;P914;Bakery;Urban Supply Co;S000075;2025/09/12;C2293;155.88;7;0;1091.16;Cash;Paid;In-Store;Employee 030;326;Buy 2 Get 1;Completed
Matthew;Taylor;matthew.taylor292@gmail.com;27657980273;Yes;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Water;P667;Beverages;Green Farms;S000076;2025/10/28;C5712;20.78;3;0;62.34;EFT;Paid;In-Store;Employee 055;233;Buy 2 Get 1;Completed
Sarah;Jackson;sarah.jackson45@gmail.com;27609335083;Yes;Polokwane;Limpopo;Urban Basket Polokwane;Apples;P207;Produce;Urban Supply Co;S000077;2025/06/01;C4886;144.05;7;10;907.52;EFT;Paid;In-Store;Employee 003;140;;Completed
Megan;Miller;megan.miller203@gmail.com;27615520617;No;Cape Town;Western Cape;Urban Basket Cape Town;Toilet Paper;P288;Household;Cape Wholesale;S000078;2025/04/23;C5689;152.75;4;0;611.0;Cash;Paid;In-Store;Employee 033;321;;Completed
Chloe;Miller;chloe.miller783@gmail.com;27814255738;Yes;Cape Town;Western Cape;Urban Basket Cape Town;Butter;P178;Dairy;Cape Wholesale;S000079;2025/06/01;C1546;183.76;6;0;1102.56;EFT;Paid;In-Store;Employee 054;102;Winter Special;Completed
Daniel;White;daniel.white887@gmail.com;27784760385;Yes;Bloemfontein;Free State;Urban Basket Bloemfontein;Paper Towels;P885;Household;Urban Supply Co;S000080;2025/06/01;C3695;228.73;5;5;1086.47;EFT;Paid;In-Store;Employee 015;493;;Completed
Daniel;Harris;daniel.harris95@gmail.com;27638427481;No;Pretoria;Gauteng;Urban Basket Pretoria;Tomatoes;P460;Produce;Green Farms;S000081;2025/03/05;C2479;5.94;7;10;37.42;Mobile Pay;Paid;In-Store;Employee 048;299;Weekend Saver;Completed
Leah;Clark;leah.clark571@gmail.com;27684276570;No;Bloemfontein;Free State;Urban Basket Bloemfontein;Tea;P519;Beverages;Urban Supply Co;S000082;2025/06/17;C8724;155.84;1;10;140.26;Cash;Paid;Online;Employee 009;465;Buy 2 Get 1;Completed
Chloe;Naidoo;chloe.naidoo70@gmail.com;27747818477;Yes;Polokwane;Limpopo;Urban Basket Polokwane;Tea;P519;Beverages;National Distribution;S000083;2025/03/01;C1742;77.83;1;5;73.94;Card;Paid;In-Store;Employee 031;69;Weekend Saver;Completed
Jessica;Adams;jessica.adams460@gmail.com;27632009181;Yes;Bloemfontein;Free State;Urban Basket Bloemfontein;Toilet Paper;P288;Household;Fresh Foods SA;S000084;2025/09/08;C3531;164.59;7;20;921.7;Mobile Pay;Paid;In-Store;Employee 036;353;Buy 2 Get 1;Completed
Zoe;Jackson;zoe.jackson780@gmail.com;27769678710;Yes;Mbombela;Mpumalanga;Urban Basket Mbombela;Bananas;P701;Produce;Urban Supply Co;S000085;2025/10/06;C6942;245.28;2;0;490.56;EFT;Paid;In-Store;Employee 008;141;Winter Special;Completed
Sarah;Jones;sarah.jones506@gmail.com;27644262495;Yes;Mbombela;Mpumalanga;Urban Basket Mbombela;Tea;P519;Beverages;National Distribution;S000086;2025/03/06;C1349;197.23;1;0;197.23;Cash;Paid;In-Store;Employee 009;106;Loyalty Discount;Completed
Jordan;Davis;jordan.davis248@gmail.com;27615101678;Yes;Pretoria;Gauteng;Urban Basket Pretoria;Cheese;P874;Dairy;Fresh Foods SA;S000087;2025/03/08;C1046;214.96;5;0;1074.8;EFT;Paid;In-Store;Employee 023;338;;Completed
Jordan;Davis;jordan.davis76@gmail.com;27741433904;Yes;Cape Town;Western Cape;Urban Basket Cape Town;Cheese;P874;Dairy;Fresh Foods SA;S000088;2025/03/06;C6304;45.63;1;0;45.63;Mobile Pay;Paid;In-Store;Employee 068;381;;Completed
Liam;Jackson;liam.jackson672@gmail.com;27721502475;Yes;Mbombela;Mpumalanga;Urban Basket Mbombela;Milk;P622;Dairy;Fresh Foods SA;S000089;2025/12/04;C8405;236.49;4;0;945.96;EFT;Paid;In-Store;Employee 059;31;Weekend Saver;Completed
Noah;Naidoo;noah.naidoo965@gmail.com;27678309226;No;Polokwane;Limpopo;Urban Basket Polokwane;Water;P667;Beverages;Cape Wholesale;S000090;2025/11/08;C8267;225.07;2;0;450.14;Cash;Paid;In-Store;Employee 009;140;Loyalty Discount;Completed
Hannah;Anderson;hannah.anderson950@gmail.com;27656103371;Yes;Bloemfontein;Free State;Urban Basket Bloemfontein;Tomatoes;P460;Produce;Urban Supply Co;S000091;2025/02/28;C8433;27.05;7;15;160.95;Cash;Paid;Online;Employee 056;454;Winter Special;Completed
Olivia;Anderson;olivia.anderson688@gmail.com;27724556956;No;Bloemfontein;Free State;Urban Basket Bloemfontein;Potatoes;P599;Produce;Cape Wholesale;S000092;2025/12/07;C7815;79.86;2;0;159.72;EFT;Paid;In-Store;Employee 048;351;Weekend Saver;Completed
Chloe;Smith;chloe.smith767@gmail.com;27733564811;Yes;Johannesburg;Gauteng;Urban Basket Johannesburg;Coffee;P665;Beverages;National Distribution;S000093;2025/03/08;C8075;186.79;2;0;373.58;Card;Paid;In-Store;Employee 072;168;;Completed
Matthew;Taylor;matthew.taylor292@gmail.com;27657980273;Yes;Bloemfontein;Free State;Urban Basket Bloemfontein;Apples;P207;Produce;Urban Supply Co;S000094;2025/09/17;C5712;89.53;5;10;402.88;Cash;Paid;Online;Employee 020;114;;Completed
Nathan;Wilson;nathan.wilson425@gmail.com;27679565663;Yes;Bloemfontein;Free State;Urban Basket Bloemfontein;Juice;P930;Beverages;Fresh Foods SA;S000095;2025/11/15;C4705;211.68;7;20;1185.41;Card;Paid;In-Store;Employee 035;92;Buy 2 Get 1;Completed
Megan;Naidoo;megan.naidoo446@gmail.com;27744170191;No;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Yoghurt;P785;Dairy;Cape Wholesale;S000096;2025/12/03;C1100;217.79;3;10;588.03;Mobile Pay;Paid;In-Store;Employee 009;379;;Completed
Emily;Williams;emily.williams926@gmail.com;27791714618;No;Pretoria;Gauteng;Urban Basket Pretoria;Potatoes;P599;Produce;Cape Wholesale;S000097;2025/06/16;C8432;41.46;6;0;248.76;Card;Paid;Online;Employee 007;80;Loyalty Discount;Completed
Daniel;Jones;daniel.jones488@gmail.com;27633113573;Yes;Johannesburg;Gauteng;Urban Basket Johannesburg;Butter;P178;Dairy;Fresh Foods SA;S000098;2025/05/20;C7947;152.75;8;5;1160.9;Cash;Paid;In-Store;Employee 066;176;Weekend Saver;Completed
Olivia;Thompson;olivia.thompson949@gmail.com;27731292302;No;Gqeberha;Eastern Cape;Urban Basket Gqeberha;Toilet Paper;P288;Household;Cape Wholesale;S000099;2025/11/03;C9633;13.74;5;5;65.27;Card;Refunded;In-Store;Employee 001;154;Winter Special;Cancelled
Nathan;Harris;nathan.harris362@gmail.com;27717086655;No;Durban;KwaZulu-Natal;Urban Basket Durban;Yoghurt;P785;Dairy;Urban Supply Co;S000100;2025/08/09;C6375;4.41;2;15;7.5;Cash;Paid;In-Store;Employee 017;272;Winter Special;Completed
